GSE37642.risk.score	group
GSM923596	-0.45982911558668	Low
GSM923597	0.308092328031582	High
GSM923598	-0.113172914603097	Low
GSM923599	-1.37262162027991	Low
GSM923600	0.785500891133349	High
GSM923601	0.471251822680343	High
GSM923602	-0.197511069438799	Low
GSM923603	-0.25609102644435	Low
GSM923604	-0.920379591489622	Low
GSM923605	0.430623280647446	High
GSM923606	-0.272241815491509	Low
GSM923607	-0.482158504427087	Low
GSM923608	-1.42916118757381	Low
GSM923609	0.323817574811081	High
GSM923610	0.286332003528092	High
GSM923611	0.672647265440967	High
GSM923612	-0.973644814600736	Low
GSM923613	-1.4610102539219	Low
GSM923614	1.77822104551752	High
GSM923615	-0.813387308402974	Low
GSM923616	0.735998234468296	High
GSM923617	-0.693832694809121	Low
GSM923618	-2.37176064047483	Low
GSM923619	-2.28526309123806	Low
GSM923620	-1.61943784712556	Low
GSM923621	-1.26091614790387	Low
GSM923622	-1.45308442579888	Low
GSM923623	-1.14673533219414	Low
GSM923624	-0.939173195542998	Low
GSM923625	-0.42070631950779	Low
GSM923626	-0.717044274539901	Low
GSM923627	-0.171119617072457	Low
GSM923628	0.379971846001723	High
GSM923629	1.07144009982333	High
GSM923630	-0.64223872271367	Low
GSM923631	-1.26702250887465	Low
GSM923632	1.06667256679911	High
GSM923633	0.492637334944134	High
GSM923634	-0.335749890874882	Low
GSM923635	0.0412957272868189	High
GSM923636	-0.211315582880254	Low
GSM923637	-0.578817515106602	Low
GSM923638	1.46386833742701	High
GSM923639	0.682879230289055	High
GSM923640	-0.701861886736273	Low
GSM923641	0.108109188090193	High
GSM923642	0.377569016723939	High
GSM923643	1.00830117433328	High
GSM923644	1.92689787480431	High
GSM923645	-0.826435660799249	Low
GSM923646	-0.341026652482333	Low
GSM923647	0.104034567832134	High
GSM923648	0.433870994415819	High
GSM923649	0.155381967156278	High
GSM923650	0.230932164793943	High
GSM923651	-0.480706767626534	Low
GSM923652	0.736234576180517	High
GSM923653	0.760306057583515	High
GSM923654	1.60274163322638	High
GSM923655	-0.371628008654532	Low
GSM923656	0.373210314308335	High
GSM923657	-0.50785037457907	Low
GSM923658	-0.195127278575061	Low
GSM923659	0.147689712247537	High
GSM923660	-2.77191258163784	Low
GSM923661	-2.36412015758173	Low
GSM923662	0.139415598516809	High
GSM923663	-1.44697638102199	Low
GSM923664	-0.0759032540032452	Low
GSM923665	-1.08712978578629	Low
GSM923666	0.538820124718679	High
GSM923667	0.546967427748509	High
GSM923668	0.259882260698627	High
GSM923669	0.416786544645841	High
GSM923671	1.46039603595601	High
GSM923672	0.0169573431402925	High
GSM923673	0.557690699510031	High
GSM923674	1.79066596792152	High
GSM923675	1.22038057408122	High
GSM923676	-0.248952367302587	Low
GSM923677	1.35255796292731	High
GSM923678	-0.936336512164859	Low
GSM923679	1.13641261368765	High
GSM923680	0.572564874753752	High
GSM923681	0.771123283327611	High
GSM923682	1.72088139965695	High
GSM923683	1.72833126798711	High
GSM923684	0.283643517709254	High
GSM923685	0.110903049202573	High
GSM923686	1.98397416492875	High
GSM923687	-0.363915515710392	Low
GSM923688	-0.721357039871585	Low
GSM923689	0.382146551508757	High
GSM923690	-0.88013677489822	Low
GSM923691	0.602331692605122	High
GSM923692	0.60298833473368	High
GSM923693	-0.657617610552934	Low
GSM923694	-0.0954714849072328	Low
