GSE37642.risk.score	group
GSM923695	1.47069948170662	High
GSM923696	0.819688053012869	High
GSM923697	0.835939208398602	High
GSM923698	-0.744798883465267	Low
GSM923699	1.16989663386945	High
GSM923700	3.0659501321219	High
GSM923701	-0.606763523585458	Low
GSM923703	0.134238759329608	High
GSM923704	-0.212709240014436	Low
GSM923705	-2.59741104726465	Low
GSM923706	-0.610978634486191	Low
GSM923707	-0.644993106228565	Low
GSM923708	-0.946337037400117	Low
GSM923709	-1.29009340435994	Low
GSM923710	0.937312393738551	High
GSM923711	0.851775838581609	High
GSM923712	1.59932196318679	High
GSM923713	-0.651851173108171	Low
GSM923714	1.42335756195284	High
GSM923715	-0.0844312891408354	Low
GSM923716	-0.760960984724015	Low
GSM923717	0.500488275811659	High
GSM923718	-0.330691181008343	Low
GSM923719	0.0547937412682684	High
GSM923720	-0.00269714682531135	Low
GSM923721	0.126804889967982	High
GSM923722	0.668890071769619	High
GSM923724	1.38778834896844	High
GSM923725	1.84619326116099	High
GSM923726	0.450536759179266	High
GSM923727	0.374588320736698	High
GSM923728	-0.190796338588167	Low
GSM923729	0.0597143002859912	High
GSM923730	0.464713530892363	High
GSM923731	1.44519860475554	High
GSM923732	0.747670342642943	High
GSM923733	1.34292962693686	High
GSM923734	0.21701185630892	High
GSM923735	-2.1390479125603	Low
GSM923736	0.550365530618921	High
GSM923738	0.308870063106072	High
GSM923739	1.64011197850666	High
GSM923740	-0.179823677797327	Low
GSM923741	0.253415002729356	High
GSM923742	-0.911986375228578	Low
GSM923743	-0.77184248241626	Low
GSM923744	0.319056861058277	High
GSM923745	-2.10640129568756	Low
GSM923746	-1.69779672004831	Low
GSM923747	-0.541132270759903	Low
GSM923748	0.722104792966565	High
GSM923749	0.141896235333351	High
GSM923750	-1.33310521168652	Low
GSM923751	-0.129934200686593	Low
GSM923752	-0.872294624556864	Low
GSM923753	-0.983667849387266	Low
GSM923754	-0.664899303518897	Low
GSM923755	-1.24541635803223	Low
GSM923756	-2.60210204658395	Low
GSM923757	-0.172590234954748	Low
GSM923758	-1.27924846139548	Low
GSM923759	0.124915456029563	High
GSM923760	-0.0692148020869073	Low
GSM923761	-0.855870501347412	Low
GSM923762	-0.444884342386604	Low
GSM923763	-0.6017352893494	Low
GSM923764	-3.60775511873032	Low
GSM923765	-2.63084958101099	Low
GSM923766	-1.96976052815763	Low
GSM923767	0.0750765910395998	High
GSM923768	-1.60947175399195	Low
GSM923769	-0.00614040251678204	Low
GSM923770	0.275238692480092	High
GSM923771	0.015654821591142	High
GSM923772	-2.10264624239218	Low
GSM923773	-0.818272055016304	Low
GSM923774	-2.48002344781888	Low
GSM923775	-0.536639880480929	Low
GSM923776	-1.62437405041937	Low
GSM923777	-0.719382800981077	Low
GSM923778	-0.667234525692381	Low
GSM923779	0.357600159378632	High
GSM923780	-0.542362956440185	Low
GSM923781	-0.121116450257874	Low
GSM923782	0.136055984779561	High
GSM923783	-0.388305889251167	Low
GSM923784	-0.415979085178246	Low
GSM923785	-0.671445107677828	Low
GSM923786	-1.23727678590574	Low
GSM923787	0.398187396235118	High
GSM923788	-0.000549712318167301	Low
GSM923789	-1.15432736487452	Low
GSM923790	-1.86074423017374	Low
GSM923791	-0.968111176613052	Low
GSM923792	-0.23936272622423	Low
GSM923793	0.686859496655608	High
GSM923794	-0.568732300954895	Low
GSM923795	0.168383366910028	High
GSM923796	-0.0996398206783786	Low
GSM923797	-0.220462180332791	Low
GSM923798	-0.57685631758925	Low
GSM923799	-0.814341495409672	Low
GSM923800	1.18799008325474	High
GSM923801	0.322409890305691	High
GSM923802	-1.55024216189688	Low
GSM923803	-1.27398102775061	Low
GSM923804	-1.03646520138755	Low
GSM923805	-0.104709118861483	Low
GSM923806	-0.875580246600244	Low
GSM923807	-0.892788796297675	Low
GSM923808	-0.740463019010716	Low
GSM923809	-2.49131551025873	Low
GSM923810	0.627586529640918	High
GSM923811	-0.812126873984421	Low
GSM923812	2.34407419964836	High
GSM923813	0.0419373308032384	High
GSM923814	0.523118263137939	High
GSM923815	0.705940059910314	High
GSM923816	0.643596212030079	High
GSM923817	0.0232964307076884	High
GSM923818	-0.252161837286725	Low
GSM923819	-1.14694982682349	Low
GSM923820	-0.41709975573746	Low
GSM923821	1.2533925772283	High
GSM923822	-1.2698924411383	Low
GSM923823	0.362865403596418	High
GSM923824	-0.425189224908712	Low
GSM923825	0.467916936124699	High
GSM923826	0.193701097984587	High
GSM923827	-1.28066094413057	Low
GSM923828	0.413916434376135	High
GSM923829	0.499943314801581	High
GSM923830	0.218338935845696	High
GSM923831	-1.17341371854712	Low
GSM923832	0.447897936943826	High
GSM923833	-1.34664807502529	Low
GSM923834	0.163582200308832	High
GSM923835	0.94886425218942	High
GSM923836	0.214200056792335	High
GSM923837	0.897869428336267	High
GSM923838	2.47011262477863	High
GSM923839	0.0748681787696311	High
GSM923840	1.68143578279324	High
GSM923841	0.784516508677637	High
GSM923842	0.476291234418444	High
GSM923843	0.315687784597585	High
GSM923844	1.2738948934412	High
GSM923845	-0.158420966077318	Low
GSM923846	-0.703624088132893	Low
GSM923847	0.252801026942068	High
GSM923848	-0.177497127409893	Low
GSM923849	-2.97396431429297	Low
GSM923850	-0.373803818827786	Low
GSM923851	0.917604293264784	High
GSM923852	-1.09052107845952	Low
GSM923853	0.852468833108072	High
GSM923854	-0.381057377539898	Low
GSM923855	0.0125721351964595	High
GSM923856	1.48619769648963	High
GSM923857	0.362902570580854	High
GSM923858	1.29156679983024	High
GSM923859	0.159350658937775	High
GSM923860	0.680638226140148	High
GSM923861	-0.261465771907035	Low
GSM923862	0.199717703059657	High
GSM923863	0.425667167117694	High
GSM923864	0.458482589555037	High
GSM923865	-0.714642469905981	Low
GSM923866	-0.94513059281778	Low
GSM923867	-0.473544377494956	Low
GSM923868	0.407677907277135	High
GSM923869	0.765564176414681	High
GSM923870	0.0994355717273962	High
GSM923871	-0.136821597321293	Low
GSM923872	-0.412527022214626	Low
GSM923873	0.503127864311811	High
GSM923874	1.25886900214914	High
GSM923875	1.01931457784684	High
GSM923876	1.48084744216387	High
GSM923877	0.23724599894918	High
GSM923878	-0.699356922457118	Low
GSM923879	0.603529612564156	High
GSM923880	2.83562958500058	High
GSM923881	-1.93743309995801	Low
GSM923882	1.00331800946139	High
GSM923883	-1.7145640830597	Low
GSM923884	0.873181142962846	High
GSM923885	0.293780362672272	High
GSM923886	1.14556205799332	High
GSM923887	1.14705566720444	High
GSM923888	0.532845189981914	High
GSM923889	1.48302790889296	High
GSM923890	0.986475168860928	High
GSM923891	1.06902670891203	High
GSM923892	-0.788467425140785	Low
GSM923893	0.0299663050069792	High
GSM923894	0.377958143242874	High
GSM923895	-1.19045567983095	Low
GSM923896	0.201419409095792	High
GSM923897	0.859308065234701	High
GSM923898	-0.295274972454887	Low
GSM923899	0.575278305690101	High
GSM923900	0.694514004458819	High
GSM923901	0.0729825540481278	High
GSM923902	0.731975012142868	High
GSM923903	0.57938603012447	High
GSM923904	0.78091418663535	High
GSM923905	0.872849222674063	High
GSM923906	0.25153320815487	High
GSM923907	-0.564827347386338	Low
GSM923908	0.0122754220076164	High
GSM923909	0.663667689584819	High
GSM923910	0.500635295737823	High
GSM923911	0.825132304026877	High
GSM923912	0.522146679285998	High
GSM923913	0.00138852349782689	High
GSM923914	0.176313577873802	High
GSM923915	0.447299246578845	High
GSM923916	0.339216678999954	High
GSM923917	0.0509189497322133	High
GSM923918	1.80733848420674	High
GSM923919	0.74280331090976	High
GSM923920	2.03861630770184	High
GSM923921	0.865276721919937	High
GSM923922	0.530319417284625	High
GSM923923	-0.16687905446773	Low
GSM923924	0.337397471817965	High
GSM923925	-0.646455713473864	Low
GSM923926	0.115401059273569	High
GSM923927	0.864383703657893	High
GSM923928	-1.06052924620807	Low
GSM923930	0.925253509663949	High
GSM923931	-0.389131503880875	Low
GSM923932	0.217802394036517	High
GSM923933	-0.259187813922937	Low
GSM923934	0.328319453772216	High
GSM923935	0.0147965353952945	High
GSM923936	0.402095520750178	High
GSM923937	0.0398912805596255	High
GSM923938	-1.51191947971074	Low
GSM923939	-2.09875252088904	Low
GSM923940	0.33099568688432	High
GSM923941	0.146991039831324	High
GSM923942	0.899370543688199	High
GSM923943	0.650995216634658	High
GSM923944	0.0396453036137488	High
GSM923945	0.240818805675805	High
GSM923946	-0.0501646013797155	Low
GSM923947	1.35121446155183	High
GSM923948	0.299255652085509	High
GSM923949	-0.420131930239728	Low
GSM923950	-1.68451902887019	Low
GSM923951	-0.155480546197422	Low
GSM923952	-0.911997194909932	Low
GSM923953	-0.0748405983446492	Low
GSM923954	-0.340394553332173	Low
GSM923955	1.43357957552828	High
GSM923956	0.691044785911953	High
GSM923957	-0.211953450798064	Low
GSM923958	-0.0967189310997627	Low
GSM923959	0.11102171421165	High
GSM923960	-0.226931347896724	Low
GSM923961	0.720592778197217	High
GSM923962	0.900717621928229	High
GSM923963	-1.16388513098744	Low
GSM923964	-1.35241241827419	Low
GSM923965	-0.424691576863199	Low
GSM923966	1.41981953318405	High
GSM923967	-1.35744903313654	Low
GSM923968	1.77579213066452	High
GSM923969	-0.109312551722272	Low
GSM923970	0.680993728435108	High
GSM923971	2.38748680612689	High
GSM923972	0.717093067346054	High
GSM923973	1.24531348368111	High
GSM923974	-0.190516921954758	Low
GSM923975	0.411120344622787	High
GSM923976	1.54897327152097	High
GSM923977	0.125702545662731	High
GSM923978	-0.92235636914475	Low
GSM923979	0.152882124992289	High
GSM923980	0.390455976472854	High
GSM923981	-0.570244152155252	Low
GSM923982	1.23118511382703	High
GSM923983	2.06485133931788	High
GSM923984	0.0256248830815591	High
GSM923985	-0.0778286692785088	Low
GSM923986	-2.94694969403464	Low
GSM923987	0.313450237971036	High
GSM923988	0.888975688985356	High
GSM923989	0.677682009440096	High
GSM923990	-0.655719139979442	Low
GSM923991	-0.0982816094295395	Low
GSM923992	0.274603987071789	High
GSM923993	-0.780214667905018	Low
GSM923994	0.411756949835542	High
GSM923995	0.237126509189589	High
GSM923996	0.203717480546873	High
GSM923997	-0.857086298619455	Low
GSM923998	1.35442472424933	High
GSM923999	1.5386353585745	High
GSM924000	0.981334870824624	High
GSM924001	-0.220073624480223	Low
GSM924002	0.0858125298708146	High
GSM924003	0.977877024205701	High
GSM924004	-1.37834775336767	Low
GSM924005	-0.160959051491453	Low
GSM924006	0.281234584025469	High
GSM924007	0.700371160631754	High
GSM924008	0.785657630333936	High
GSM924009	-0.860556375235254	Low
GSM924010	0.12122870222167	High
GSM924011	-0.421705207970856	Low
GSM924012	-0.640953383425377	Low
GSM924013	-0.526274798666141	Low
GSM924014	-1.50983984673553	Low
GSM924015	-0.342013521293848	Low
GSM924016	-0.920541859162181	Low
GSM924017	-0.622720566108613	Low
