Tag	GSM257871	GSM257872	GSM257873	GSM257874
A1CF	7.25427278692363	6.74255870686105	7.17678152140442	7.54489490364197
A2M	4.6179742939295	4.21752543026463	6.00185627514428	3.5203468115194
A4GALT	3.94117205726919	6.01612632779374	5.00974577546843	6.34921664064085
A4GNT	6.67368361524226	5.86310588617606	6.61240558140392	5.94281239697294
AAAS	7.64207336027527	7.89153462699563	7.46581941541601	8.00096335349389
AACS	8.83686144567105	8.16956428259035	8.78093667955353	7.89384755813292
AADAC	4.4237126190543	5.12439844812731	4.05542127465884	2.7352708751934
AAGAB	9.38354230414659	9.58486105765969	9.09988954127582	9.74522724613923
AAK1	8.58729372460219	8.30929444228888	8.60549062991906	8.51893635634974
AAMDC	7.50689069093963	7.24617053228366	7.70164608351587	6.99846632160805
AAMP	9.97881054349679	10.0128619425226	9.85050097646854	9.79950343299993
AANAT	2.86485569696773	4.66072900180735	2.38294110366327	2.47551555135362
AAR2	9.53433401242309	9.50333482021767	9.50645635600454	9.36709363122532
AARS	10.9881165847601	10.9548215366506	10.7760875338844	10.7491822661355
AASDHPPT	10.3389591754152	10.3474995702922	10.6774289595118	10.2038496163317
AASS	5.06608057732734	2.40646320027315	2.57253319384416	2.70787592469859
AATF	11.0305154108172	11.2537588646341	11.1238756707948	11.0266548421243
AATK	6.39338874122582	6.90090302581168	7.17986929098209	6.56479579454689
ABAT	5.70557433283603	6.51094135439887	6.83223179261046	6.84118062630707
ABCA1	4.6006622540069	5.01981309195895	6.08555425162982	3.7248685146864
ABCA12	5.16739807341327	1.12831979957966	5.5194381143602	4.33704738538481
ABCA2	7.19879861188616	6.4470203911318	6.95071335289587	6.89466014935802
ABCA3	5.53438226254678	7.3515488288755	6.36897258840794	6.31517311626877
ABCA4	4.36725922448867	4.14819386251612	4.6689813970277	6.21410925898632
ABCA5	3.69174631035608	4.3289082526027	3.86261008401129	1.52191006577437
ABCA6	5.0632742673743	2.98180882391387	4.80983628338993	4.93386530193991
ABCA7	7.1893007457358	6.88448802974188	4.48861783459065	7.11697808778198
ABCA8	4.31142318957662	1.87134689749221	4.57768259918833	3.3496384465335
ABCB1	5.2931055831958	3.22893256273034	5.07602884660596	3.25652913649196
